Campaign Number,Name,Start Date,End Date,Channel,Client,Address,Email,Phone,Contact,Audience,Location,Views,Likes,Clicks,Conversions, Expense ,Executive,CampaignType,Total Sales
1,Campaign 1,2023-12-18 0:00:00,2024-01-10 0:00:00,YouTube,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Adults 18-40,USA,23458,7718,1056,702,"$13,961.03",Lauren Riggs,Sign Up,
2,Campaign 2,2023-10-12 0:00:00,2023-11-09 0:00:00,Email,"Weaver, Garner and Ramos","2933 Ortiz Overpass Suite 099, South Douglasburgh, KY 52632-7557",oscott@gmail.com,498.978.7718x501,Melinda Johnston,Female 60+,LATAM,92422,8075,1360,182,"$43,804.31",Brandon Townsend Jr.,Sales,"$50,878.17"
3,Campaign 3,2023-05-18 0:00:00,2023-06-04 0:00:00,TikTok,Salinas-Chavez,"53637 Bonnie Walk Suite 961, South Adrianaport, IA 49560",richard84@hotmail.com,2545622603,Chelsea Hoffman,Male 40-60,Canada,45934,2446,1655,669,"$36,007.47",Thomas Ryan,Sales,"$76,729.41"
4,Campaign 4,2023-02-23 0:00:00,2023-03-09 0:00:00,Instagram,"Russell, Wilson and Rogers","27907 Deborah Hill Suite 235, Abigailbury, CO 58408",michael78@yahoo.com,(995)213-6315,Michael Howard,Female 18-40,Europe,30391,1700,2669,243,"$37,425.85",Thomas Ryan,Sales,"$42,784.94"
5,Campaign 5,2023-11-20 0:00:00,2023-12-11 0:00:00,Instagram,White Ltd,"172 Angela Crescent Apt. 306, North Laura, HI 69094-7497",jeremy56@gmail.com,(320)185-3187x395,Nathan Weber,Male 60+,Canada,52042,191,4242,753,"$48,590.34",Jesus Rivera,Sales,"$64,163.39"
6,Campaign 6,2023-09-19 0:00:00,2023-10-05 0:00:00,YouTube,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Male 60+,USA,40365,7775,1499,945,"$26,693.82",Jesus Rivera,Sales,"$51,897.34"
7,Campaign 7,2023-06-19 0:00:00,2023-07-09 0:00:00,Instagram,Salinas-Chavez,"53637 Bonnie Walk Suite 961, South Adrianaport, IA 49560",richard84@hotmail.com,2545622603,Chelsea Hoffman,Seniors 60+,Japan,51437,4435,97,498,"$4,274.45",Thomas Ryan,Sales,"$62,156.23"
8,Campaign 8,2023-07-08 0:00:00,2023-07-20 0:00:00,Facebook,Weaver-Hoover,"050 Andrews Green, North Renee, VT 22014-1131",jacqueline32@dominguez.biz,574-189-4981x166,Kathy Mahoney,Adults 40-60,UK,63951,4627,1858,798,"$7,863.20",Brandon Townsend Jr.,Sales,"$59,610.64"
9,Campaign 9,2023-04-24 0:00:00,2023-05-17 0:00:00,Email,White Ltd,"172 Angela Crescent Apt. 306, North Laura, HI 69094-7497",jeremy56@gmail.com,(320)185-3187x395,Nathan Weber,Adults 18-40,Australia,24495,8354,4208,527,"$14,404.95",Jesus Rivera,Sign Up,$0.00
10,Campaign 10,2023-06-05 0:00:00,2023-06-07 0:00:00,Facebook,Ross Group,"2397 Allison Knolls Suite 213, Jacksonside, WV 58803-3895",kristopher99@romero.org,1-844-245-2487x0945,Lauren Graham,Male 60+,USA,49877,8180,905,937,"$26,039.88",Brandon Townsend Jr.,Sales,"$30,846.65"
