Campaign Number,Name,Start Date-TBD,Start Date,End Date-TBD,End Date,CampaignDuration,Channel,Client,Address,Email,Phone,Contact,Audience,Audience-Age,Demographic,Location,Views,Likes,Clicks,Conversions,Expense,Executive
1,Campaign 1,2023-12-18 0:00:00,2023-12-18,2024-01-10 0:00:00,2024-01-10,23,YouTube,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Adults 20-39,20-39,Young-Adults<40,USA,23458,7718,1056,702,13961.03,Lauren Riggs
2,Campaign 2,2023-10-12 0:00:00,2023-10-12,2023-11-09 0:00:00,2023-11-09,28,Email,"Weaver, Garner and Ramos","2933 Ortiz Overpass Suite 099, South Douglasburgh, KY 52632-7557",oscott@gmail.com,498.978.7718x501,Melinda Johnston,Female 60+,60+,Seniors>60,LATAM,92422,8075,1360,182,43804.31,Brandon Townsend Jr.
3,Campaign 3,2023-05-18 0:00:00,2023-05-18,2023-06-04 0:00:00,2023-06-04,17,TikTok,Salinas-Chavez,"53637 Bonnie Walk Suite 961, South Adrianaport, IA 49560",richard84@hotmail.com,2545622603,Chelsea Hoffman,Male 40-60,40-60,Middle-Aged Adults<60,Canada,45934,2446,1655,669,36007.47,Thomas Ryan
4,Campaign 4,2023-02-23 0:00:00,2023-02-23,2023-03-09 0:00:00,2023-03-09,14,Instagram,"Russell, Wilson and Rogers","27907 Deborah Hill Suite 235, Abigailbury, CO 58408",michael78@yahoo.com,(995)213-6315,Michael Howard,Female 20-39,20-39,Young-Adults<40,Europe,30391,1700,2669,243,37425.85,Thomas Ryan
5,Campaign 5,2023-11-20 0:00:00,2023-11-20,2023-12-11 0:00:00,2023-12-11,21,Instagram,White Ltd,"172 Angela Crescent Apt. 306, North Laura, HI 69094-7497",jeremy56@gmail.com,(320)185-3187x395,Nathan Weber,Male 60+,60+,Seniors>60,Canada,52042,191,4242,753,48590.34,Jesus Rivera
6,Campaign 6,2023-09-19 0:00:00,2023-09-19,2023-10-05 0:00:00,2023-10-05,16,YouTube,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Male 60+,60+,Seniors>60,USA,40365,7775,1499,945,26693.82,Jesus Rivera
7,Campaign 7,2023-06-19 0:00:00,2023-06-19,2023-07-09 0:00:00,2023-07-09,20,Instagram,Salinas-Chavez,"53637 Bonnie Walk Suite 961, South Adrianaport, IA 49560",richard84@hotmail.com,2545622603,Chelsea Hoffman,Seniors 60+,60+,Seniors>60,Japan,51437,4435,97,498,4274.45,Thomas Ryan
8,Campaign 8,2023-07-08 0:00:00,2023-07-08,2023-07-20 0:00:00,2023-07-20,12,Facebook,Weaver-Hoover,"050 Andrews Green, North Renee, VT 22014-1131",jacqueline32@dominguez.biz,574-189-4981x166,Kathy Mahoney,Adults 40-60,40-60,Middle-Aged Adults<60,UK,63951,4627,1858,798,7863.2,Brandon Townsend Jr.
9,Campaign 9,2023-04-24 0:00:00,2023-04-24,2023-05-17 0:00:00,2023-05-17,23,Email,White Ltd,"172 Angela Crescent Apt. 306, North Laura, HI 69094-7497",jeremy56@gmail.com,(320)185-3187x395,Nathan Weber,Adults 20-39,20-39,Young-Adults<40,Australia,24495,8354,4208,527,14404.95,Jesus Rivera
10,Campaign 10,2023-06-05 0:00:00,2023-06-05,2023-06-07 0:00:00,2023-06-07,2,Facebook,Ross Group,"2397 Allison Knolls Suite 213, Jacksonside, WV 58803-3895",kristopher99@romero.org,1-844-245-2487x0945,Lauren Graham,Male 60+,60+,Seniors>60,USA,49877,8180,905,937,26039.88,Brandon Townsend Jr.
11,Campaign 11,2023-09-23 0:00:00,2023-09-23,2023-10-04 0:00:00,2023-10-04,11,YouTube,"Noble, Mcneil and Cooper","36911 Gay Streets Suite 795, Brentmouth, LA 62951-4782",sarahparks@yahoo.com,356-608-6335x0070,Mark Garcia,Male 60+,60+,Seniors>60,Australia,76265,894,2198,19,13777.14,Wesley Simon
12,Campaign 12,2023-12-24 0:00:00,2023-12-24,2024-01-21 0:00:00,2024-01-21,28,Facebook,"Reed, Galloway and Buck","49317 Vincent Vista Suite 462, Port Nathan, CA 23364-0905",larrygraham@lucas.com,(669)708-2006,Andrea Simmons,Male 60+,60+,Seniors>60,LATAM,12061,5983,3720,193,21295.14,Wesley Simon
13,Campaign 13,2023-05-22 0:00:00,2023-05-22,2023-06-03 0:00:00,2023-06-03,12,Email,Ramirez-Wilson,"6802 Scott Ways, Jasonbury, NM 94299-7873",robertellis@simpson-gutierrez.com,(414)086-9895x8325,Christine Nguyen,Female 20-39,20-39,Young-Adults<40,USA,46002,7059,1447,763,35410.1,Becky Brown
14,Campaign 14,2023-04-27 0:00:00,2023-04-27,2023-05-10 0:00:00,2023-05-10,13,TikTok,Smith-Bailey,"055 Rebecca Ramp, Edwardsland, WY 72139-7625",bakerpaul@holland.com,054-495-6142x7992,Sharon Reeves,Adults 40-60,40-60,Middle-Aged Adults<60,USA,53589,8009,3579,381,42260.22,Michael Camacho
15,Campaign 15,2023-02-13 0:00:00,2023-02-13,2023-02-23 0:00:00,2023-02-23,10,YouTube,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Adults 40-60,40-60,Middle-Aged Adults<60,Japan,52012,2398,311,106,44445.65,Jesus Rivera
16,Campaign 16,2023-11-02 0:00:00,2023-11-02,2023-11-20 0:00:00,2023-11-20,18,Facebook,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Male 60+,60+,Seniors>60,Canada,46834,6492,3250,699,10339.5,Lauren Riggs
17,Campaign 17,2023-10-23 0:00:00,2023-10-23,2023-11-16 0:00:00,2023-11-16,24,TikTok,Lewis PLC,"621 Woodard Manors Apt. 208, Port Amy, ME 05157-2612",beth20@gmail.com,(382)505-1266,Diana Love,Seniors 60+,60+,Seniors>60,India,87131,3958,4546,221,18477.84,Thomas Ryan
18,Campaign 18,2023-03-28 0:00:00,2023-03-28,2023-04-10 0:00:00,2023-04-10,13,Facebook,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Seniors 60+,60+,Seniors>60,Japan,72204,6080,1948,237,33988.25,Jesus Rivera
